year,global,london,vilnius,Global,"London, UK","Vilnius, Lithuania"
1943,8.76,10.19,6.48,8.704,9.652,5.685
1944,8.85,9.62,6.28,8.726,9.603,5.566
1945,8.58,10.39,5.48,8.732,9.652,5.533
1946,8.68,9.58,5.71,8.745,9.667,5.43
1947,8.8,9.75,5.06,8.755,9.673,5.295
1948,8.75,10.16,6.58,8.744,9.671,5.25
1949,8.59,10.63,7.31,8.727,9.757,5.334
1950,8.37,9.75,6.03,8.688,9.826,5.569
1951,8.63,9.52,5.94,8.674,9.869,5.83
1952,8.64,9.35,5.19,8.665,9.894,6.006
1953,8.87,9.95,6,8.676,9.87,5.958
1954,8.56,9.35,5.43,8.647,9.843,5.873
1955,8.63,9.39,5.28,8.652,9.743,5.853
1956,8.28,8.87,4.11,8.612,9.672,5.693
1957,8.73,10.26,6.6,8.605,9.723,5.847
1958,8.77,9.66,5.44,8.607,9.673,5.733
1959,8.73,10.63,6.5,8.621,9.673,5.652
1960,8.58,9.88,5.86,8.642,9.686,5.635
1961,8.8,10.2,6.93,8.659,9.754,5.734
1962,8.75,8.65,5.22,8.67,9.684,5.737
1963,8.86,8.48,4.83,8.669,9.537,5.62
1964,8.41,9.53,5.53,8.654,9.555,5.63
1965,8.53,9.03,4.77,8.644,9.519,5.579
1966,8.6,9.59,5.68,8.676,9.591,5.736
1967,8.7,9.81,6.45,8.673,9.546,5.721
1968,8.52,9.48,5.3,8.648,9.528,5.707
1969,8.6,9.47,4.27,8.635,9.412,5.484
1970,8.7,9.69,5.1,8.647,9.393,5.408
1971,8.6,9.89,6.29,8.627,9.362,5.344
1972,8.5,9.41,6.48,8.602,9.438,5.47
1973,8.95,9.75,6.12,8.611,9.565,5.599
1974,8.47,9.7,6.62,8.617,9.582,5.708
1975,8.74,9.99,7.69,8.638,9.678,6
1976,8.35,10.28,4.55,8.613,9.747,5.887
1977,8.85,9.69,5.66,8.628,9.735,5.808
1978,8.69,9.41,4.88,8.645,9.728,5.766
1979,8.73,9.06,5.34,8.658,9.687,5.873
1980,8.98,9.54,4.7,8.686,9.672,5.833
1981,9.17,9.38,6.09,8.743,9.621,5.813
1982,8.64,10.07,6.26,8.757,9.687,5.791
1983,9.03,10.12,7.1,8.765,9.724,5.889
1984,8.69,9.75,6.17,8.787,9.729,5.844
1985,8.66,9,4.41,8.779,9.63,5.516
1986,8.83,8.94,5.57,8.827,9.496,5.618
1987,8.99,9.22,4.06,8.841,9.449,5.458
1988,9.2,9.82,6.26,8.892,9.49,5.596
1989,8.92,10.76,7.78,8.911,9.66,5.84
1990,9.23,10.94,7.56,8.936,9.8,6.126
1991,9.18,9.67,6.77,8.937,9.829,6.194
1992,8.84,10.15,7.04,8.957,9.837,6.272
1993,8.87,9.69,5.79,8.941,9.794,6.141
1994,9.04,10.48,6.3,8.976,9.867,6.154
1995,9.35,10.55,6.68,9.045,10.022,6.381
1996,9.04,9.27,5.09,9.066,10.055,6.333
1997,9.2,10.64,6.29,9.087,10.197,6.556
1998,9.52,10.4,6.27,9.119,10.255,6.557
1999,9.29,10.86,7.31,9.156,10.265,6.51
2000,9.2,10.52,7.69,9.153,10.223,6.523
2001,9.41,10.18,6.75,9.176,10.274,6.521
2002,9.57,10.91,7.26,9.249,10.35,6.543
2003,9.53,10.81,6.44,9.315,10.462,6.608
2004,9.32,10.77,6.43,9.343,10.491,6.621
2005,9.7,10.63,6.5,9.378,10.499,6.603
2006,9.53,11.1,6.98,9.427,10.682,6.792
2007,9.73,10.83,7.44,9.48,10.701,6.907
2008,9.43,10.38,7.84,9.471,10.699,7.064
2009,9.51,10.52,6.7,9.493,10.665,7.003
2010,9.7,9.38,6.14,9.543,10.551,6.848
2011,9.52,11.19,7.32,9.554,10.652,6.905
2012,9.51,10,6.31,9.548,10.561,6.81
2013,9.61,9.91,7.42,9.556,10.471,6.908
2014,9.57,,,9.581,10.43777778,6.961111111
2015,9.83,,,9.594,10.41375,7.01875
